RegistroANS;Ano;Trimestre;ValorDespesas
"344800";2025;"3T";"230068808.69"
"344800";2025;"3T";"231556201.57"
"344800";2025;"3T";"228901628.75"
"344800";2025;"3T";"226157475.31"
"344885";2025;"3T";"0"
"344885";2025;"3T";"0"
"344885";2025;"3T";"0"
"344915";2025;"3T";"50521.66"
"344915";2025;"3T";"50521.66"
"344915";2025;"3T";"50521.66"
"344915";2025;"3T";"62685.43"
"345458";2025;"3T";"323968.64"
"345458";2025;"3T";"12650.5"
"345458";2025;"3T";"311318.14"
"345458";2025;"3T";"4185529.26"
"345458";2025;"3T";"3704907.19"
"345458";2025;"3T";"3576015.82"
"345458";2025;"3T";"128891.37"
"345458";2025;"3T";"3890236.98"
"345709";2025;"3T";"1335975.75"
"345709";2025;"3T";"970808.87"
"345709";2025;"3T";"365166.88"
"347507";2025;"3T";"165412888.14"
"347507";2025;"3T";"163693607.17"
"347507";2025;"3T";"115274112.02"
"347507";2025;"3T";"115274112.02"
"347507";2025;"3T";"422119.73"
"347507";2025;"3T";"5517746.24"
"347507";2025;"3T";"7026675.93"
"347507";2025;"3T";"123994.56"
"347507";2025;"3T";"10509810.98"
"347507";2025;"3T";"1372440.34"
"347507";2025;"3T";"12760235.75"
"347507";2025;"3T";"12390732.03"
"347507";2025;"3T";"73994.09"
"347507";2025;"3T";"19702285.68"
"347507";2025;"3T";"1059288.34"
"347507";2025;"3T";"19865308.51"
"347507";2025;"3T";"18661603.84"
"347507";2025;"3T";"111884.4"
"347507";2025;"3T";"30807001.27"
"347507";2025;"3T";"256.2"
"347507";2025;"3T";"7228973.85"
"347507";2025;"3T";"10472133.92"
"347507";2025;"3T";"13290129.96"
"347507";2025;"3T";"42626.05"
"347507";2025;"3T";"42626.05"
"347507";2025;"3T";"2069.41"
"347507";2025;"3T";"40556.64"
"347507";2025;"3T";"2301591.97"
"347507";2025;"3T";"2301591.97"
"347507";2025;"3T";"11847"
"347507";2025;"3T";"622555.32"
"347507";2025;"3T";"1062373.11"
"347507";2025;"3T";"94573.45"
"347507";2025;"3T";"798936.35"
"347507";2025;"3T";"360961.53"
"347507";2025;"3T";"111338.38"
"347736";2025;"3T";"27744924.06"
"347736";2025;"3T";"27450944.49"
"347736";2025;"3T";"14848719.77"
"347736";2025;"3T";"14848719.77"
"347736";2025;"3T";"48408.81"
"347736";2025;"3T";"1084270.55"
"347736";2025;"3T";"156929.54"
"347736";2025;"3T";"6156.57"
"347736";2025;"3T";"939322.94"
"347736";2025;"3T";"87427.41"
"347736";2025;"3T";"3481327.84"
"347736";2025;"3T";"61082.04"
"347736";2025;"3T";"2894103.94"
"347736";2025;"3T";"273936.88"
"348082";2025;"3T";"2436303.36"
"348082";2025;"3T";"5425007.8"
"348082";2025;"3T";"2239760.02"
"348082";2025;"3T";"107429.52"
"348082";2025;"3T";"17428621.13"
"348082";2025;"3T";"535284.25"
"348082";2025;"3T";"1385460.52"
"348082";2025;"3T";"692000"
"348082";2025;"3T";"7538884.44"
"348082";2025;"3T";"804717.48"
"348082";2025;"3T";"2000604.28"
"348082";2025;"3T";"196906.77"
"348082";2025;"3T";"47320.32"
"348082";2025;"3T";"12849109.31"
"348082";2025;"3T";"210886.93"
"348082";2025;"3T";"468434.2"
"348082";2025;"3T";"14726931.65"
"348082";2025;"3T";"132823861.57"
"348082";2025;"3T";"132823861.57"
"348082";2025;"3T";"12779516.93"
"348082";2025;"3T";"23020425.13"
"348082";2025;"3T";"10339028.96"
"348082";2025;"3T";"124190.33"
"348082";2025;"3T";"60106775.85"
"348082";2025;"3T";"867299.05"
"348082";2025;"3T";"25590725.89"
"348082";2025;"3T";"10777935.67"
"348082";2025;"3T";"10777935.67"
"348082";2025;"3T";"626931.83"
"348082";2025;"3T";"4168328.2"
"348082";2025;"3T";"677380.97"
"348082";2025;"3T";"21146.84"
"348082";2025;"3T";"5417908.37"
"348082";2025;"3T";"108317.45"
"348082";2025;"3T";"108317.45"
"348082";2025;"3T";"15428.2"
"348082";2025;"3T";"82554.88"
"348082";2025;"3T";"2235.95"
"348082";2025;"3T";"181506.45"
"348082";2025;"3T";"-231748.12"
"348082";2025;"3T";"-231748.12"
"348082";2025;"3T";"-231748.12"
"348082";2025;"3T";"-231748.12"
"348082";2025;"3T";"-231748.12"
"348082";2025;"3T";"-314535.12"
"348082";2025;"3T";"82787"
"348244";2025;"3T";"65.4"
"348244";2025;"3T";"2200.61"
"348244";2025;"3T";"3065.41"
"348244";2025;"3T";"234.16"
"348244";2025;"3T";"8247.35"
"348244";2025;"3T";"13208.86"
"348244";2025;"3T";"384703.22"
"348244";2025;"3T";"319731.08"
"348244";2025;"3T";"78725.8"
"348244";2025;"3T";"626785.42"
"348244";2025;"3T";"2059.39"
"348244";2025;"3T";"258460.77"
"348244";2025;"3T";"20287277.34"
"348244";2025;"3T";"20287277.34"
"348244";2025;"3T";"260240.02"
"348244";2025;"3T";"8033961.43"
"348244";2025;"3T";"3964174.87"
"348244";2025;"3T";"1582084.4"
"348244";2025;"3T";"7514434.14"
"348244";2025;"3T";"2748869.8"
"348244";2025;"3T";"24330003.12"
"348244";2025;"3T";"24330003.12"
"348244";2025;"3T";"387458.47"
"348244";2025;"3T";"4474381.64"
"348244";2025;"3T";"4305844.66"
"348244";2025;"3T";"1245761.23"
"348244";2025;"3T";"9568467.48"
"348244";2025;"3T";"79706.2"
"348244";2025;"3T";"1841371.42"
"348244";2025;"3T";"1475419.88"
"348244";2025;"3T";"423446.04"
"348244";2025;"3T";"2747354.76"
"348244";2025;"3T";"13954.19"
"348244";2025;"3T";"13828.03"
"348244";2025;"3T";"418304.81"
"348244";2025;"3T";"418304.81"
"348244";2025;"3T";"101361.14"
"348244";2025;"3T";"47951.17"
"348244";2025;"3T";"268992.5"
"348244";2025;"3T";"172864.46"
"348244";2025;"3T";"172864.46"
"348244";2025;"3T";"28400.82"
"348244";2025;"3T";"7736.89"
"348244";2025;"3T";"22184.7"
"348244";2025;"3T";"114542.05"
"348244";2025;"3T";"974884.91"
"348244";2025;"3T";"974884.91"
"348244";2025;"3T";"974884.91"
"348244";2025;"3T";"974884.91"
"348244";2025;"3T";"974884.91"
"348244";2025;"3T";"885966.07"
"348244";2025;"3T";"88918.84"
"325031";2025;"3T";"883043.64"
"325031";2025;"3T";"883043.64"
"325031";2025;"3T";"867514.68"
"325031";2025;"3T";"867514.68"
"325031";2025;"3T";"15528.96"
"325031";2025;"3T";"15528.96"
"325571";2025;"3T";"1418062.37"
"325571";2025;"3T";"112991.08"
"325571";2025;"3T";"308227299.77"
"325571";2025;"3T";"308227299.77"
"325571";2025;"3T";"12440311.37"
"325571";2025;"3T";"82439775.53"
"325571";2025;"3T";"2988.29"
"325571";2025;"3T";"61022307.54"
"325571";2025;"3T";"516714.03"
"325571";2025;"3T";"154915782.45"
"325571";2025;"3T";"6852344.63"
"325571";2025;"3T";"31542376.47"
"325571";2025;"3T";"129861378.59"
"325571";2025;"3T";"129861378.59"
"325571";2025;"3T";"996167.03"
"325571";2025;"3T";"7404842.11"
"325571";2025;"3T";"5494707.78"
"325571";2025;"3T";"32676.16"
"325571";2025;"3T";"20927575.07"
"325571";2025;"3T";"3716308.24"
"325571";2025;"3T";"28581286.67"
"325571";2025;"3T";"20408558.48"
"325571";2025;"3T";"181673.43"
"325571";2025;"3T";"63481155.25"
"325571";2025;"3T";"1383112.06"
"325571";2025;"3T";"5254585.28"
"326861";2025;"3T";"4718360.68"
"326861";2025;"3T";"2010036.78"
"326861";2025;"3T";"1545459.91"
"326861";2025;"3T";"1162863.99"
"326861";2025;"3T";"1799590.38"
"326861";2025;"3T";"8140040.36"
"326861";2025;"3T";"6780046.11"
"326861";2025;"3T";"1359994.25"
"327352";2025;"3T";"2156896.59"
"327352";2025;"3T";"32125.26"
"327352";2025;"3T";"3910238.76"
"327352";2025;"3T";"-88405.72"
"327352";2025;"3T";"-88405.72"
"327352";2025;"3T";"126.53"
"327352";2025;"3T";"-927.22"
"327352";2025;"3T";"-13551.78"
"327352";2025;"3T";"-74053.25"
"327352";2025;"3T";"318567.92"
"327352";2025;"3T";"318567.92"
"327352";2025;"3T";"318567.92"
"327352";2025;"3T";"318567.92"
"327352";2025;"3T";"318567.92"
"327352";2025;"3T";"318567.92"
"327557";2025;"3T";"1046291.18"
"327557";2025;"3T";"993233.38"
"327557";2025;"3T";"993233.38"
"327557";2025;"3T";"1027080.53"
"327557";2025;"3T";"53057.8"
"327557";2025;"3T";"53057.8"
"327557";2025;"3T";"54391.73"
"327557";2025;"3T";"24106.27"
"327557";2025;"3T";"0"
"327557";2025;"3T";"24106.27"
"327557";2025;"3T";"695125.77"
"327557";2025;"3T";"12599502.8"
"327557";2025;"3T";"12494044.79"
"327557";2025;"3T";"105458.01"
"327557";2025;"3T";"215693.36"
"328308";2025;"3T";"0"
"328308";2025;"3T";"-281.13"
"328308";2025;"3T";"-10560.27"
"329339";2025;"3T";"65644.62"
"329886";2025;"3T";"286237.09"
"329886";2025;"3T";"286237.09"
"329886";2025;"3T";"285850.94"
"329886";2025;"3T";"500946.12"
"329886";2025;"3T";"386.15"
"329886";2025;"3T";"386.15"
"330116";2025;"3T";"32275.84"
"330116";2025;"3T";"32275.84"
"330116";2025;"3T";"32275.84"
"330116";2025;"3T";"71275.63"
"330116";2025;"3T";"218260.34"
"330116";2025;"3T";"35194.73"
"330116";2025;"3T";"183065.61"
"330116";2025;"3T";"3263606.29"
"330116";2025;"3T";"2326528.16"
"330116";2025;"3T";"2178572.55"
"330116";2025;"3T";"147955.61"
"330566";2025;"3T";"5605756.16"
"330566";2025;"3T";"5532955.92"
"330566";2025;"3T";"72800.24"
"330566";2025;"3T";"0.01"
"330566";2025;"3T";"0"
"330566";2025;"3T";"0"
"331317";2025;"3T";"222520.5"
"331317";2025;"3T";"92111.04"
"331317";2025;"3T";"130409.46"
"331317";2025;"3T";"13502420.56"
"331317";2025;"3T";"33814563.96"
"331317";2025;"3T";"33479930.55"
"331317";2025;"3T";"334633.41"
"331317";2025;"3T";"384091.46"
"331317";2025;"3T";"26549.44"
"331317";2025;"3T";"357542.02"
"331317";2025;"3T";"4904830.37"
"331317";2025;"3T";"10569.3"
"331317";2025;"3T";"985354.63"
"331872";2025;"3T";"0"
"331872";2025;"3T";"0"
"331872";2025;"3T";"0"
"331872";2025;"3T";"0"
"331872";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"333239";2025;"3T";"0"
"334154";2025;"3T";"878038.81"
"334154";2025;"3T";"878038.81"
"334561";2025;"3T";"20052928.38"
"334561";2025;"3T";"20052928.38"
"334561";2025;"3T";"902329.01"
"334561";2025;"3T";"2171974.7"
"335215";2025;"3T";"0"
"335479";2025;"3T";"270961.33"
"335479";2025;"3T";"2357695.46"
"335479";2025;"3T";"153681.59"
"335479";2025;"3T";"9480735.37"
"335479";2025;"3T";"13660236.48"
"335479";2025;"3T";"33684224.36"
"335479";2025;"3T";"495457.1"
"335479";2025;"3T";"8732844.5"
"335479";2025;"3T";"410042.86"
"335479";2025;"3T";"33475152.09"
"335479";2025;"3T";"4463482.54"
"335479";2025;"3T";"34002552.37"
"335479";2025;"3T";"37847.85"
"335479";2025;"3T";"37847.85"
"335479";2025;"3T";"5621.28"
"335479";2025;"3T";"15002.73"
"335479";2025;"3T";"1300"
"335479";2025;"3T";"7802.3"
"335479";2025;"3T";"8121.54"
"335479";2025;"3T";"101233081.49"
"335479";2025;"3T";"101233081.49"
"335479";2025;"3T";"14363489.4"
"335479";2025;"3T";"33333172.4"
"335479";2025;"3T";"2001190.6"
"335479";2025;"3T";"11317684.42"
"335479";2025;"3T";"591099.06"
"335479";2025;"3T";"39626445.61"
"335479";2025;"3T";"19156690.15"
"335479";2025;"3T";"69346678"
"335479";2025;"3T";"69346678"
"335479";2025;"3T";"10835014.63"
"335479";2025;"3T";"21514086.91"
"335479";2025;"3T";"1576346.04"
"335479";2025;"3T";"21358897.23"
"335479";2025;"3T";"329755.54"
"335479";2025;"3T";"19596752.21"
"335479";2025;"3T";"3371006.35"
"335479";2025;"3T";"3371006.35"
"335479";2025;"3T";"247303.09"
"335479";2025;"3T";"856045.89"
"335479";2025;"3T";"39150"
"335479";2025;"3T";"1154176.54"
"335479";2025;"3T";"1074330.83"
"335479";2025;"3T";"793778.96"
"335479";2025;"3T";"793778.96"
"335479";2025;"3T";"2362640.96"
"335479";2025;"3T";"27374918.58"
